date,cost
2023-10-20,130000
2023-10-21,130000
2023-10-22,130000
2023-10-23,50000
2023-10-24,50000
2023-10-25,130000
2023-10-26,130000
2023-10-27,130000
2023-10-28,130000
2023-10-29,130000
2023-10-30,50000
2023-10-31,50000
2023-11-01,130000
2023-11-02,130000
2023-11-03,130000
2023-11-04,130000
2023-11-05,130000
2023-11-06,50000
2023-11-07,50000
2023-11-08,130000
2023-11-09,130000
2023-11-10,130000
2023-11-11,130000
2023-11-12,130000
2023-11-13,100000
2023-11-14,100000
2023-11-15,600000
2023-11-16,600000
2023-11-17,600000
2023-11-18,600000
2023-11-19,600000
2023-11-20,100000
2023-11-21,100000
2023-11-22,600000
2023-11-23,600000
2023-11-24,600000
2023-11-25,600000
2023-11-26,600000
2023-11-27,250000
2023-11-28,250000
2023-11-29,800000
2023-11-30,800000
2023-12-01,800000
2023-12-02,800000
2023-12-03,800000
2023-12-04,250000
2023-12-05,250000
2023-12-06,800000
2023-12-07,800000
2023-12-08,800000
2023-12-09,800000
2023-12-10,800000
2023-12-11,250000
2023-12-12,250000
2023-12-13,800000
2023-12-14,800000
2023-12-15,800000
2023-12-16,800000
2023-12-17,800000
2023-12-18,100000
2023-12-19,100000
2023-12-20,600000
2023-12-21,600000
2023-12-22,600000
2023-12-23,600000
2023-12-24,600000
2023-12-25,100000
2023-12-26,100000
2023-12-27,260000
2023-12-28,260000
2023-12-29,260000
2023-12-30,260000
2023-12-31,260000