date,cost,click,cpc
2023-07-01,0,0,0
2023-07-02,0,0,0
2023-07-03,267006,180,1483.37
2023-07-04,259442,180,1441.34
2023-07-05,252299,170,1484.11
2023-07-06,246379,171,1440.81
2023-07-07,190815,138,1382.72
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,336804,237,1421.11
2023-07-11,264898,199,1331.15
2023-07-12,229696,175,1312.55
2023-07-13,278702,221,1261.1
2023-07-14,252653,185,1365.69
2023-07-15,0,0,0
2023-07-16,0,0,0
2023-07-17,253694,177,1433.3
2023-07-18,254520,168,1515
2023-07-19,150660,106,1421.32
2023-07-20,256005,177,1446.36
2023-07-21,232083,161,1441.51
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,318918,170,1875.99
2023-07-25,235696,154,1530.49
2023-07-26,230960,167,1382.99
2023-07-27,227220,180,1262.33
2023-07-28,214743,159,1350.58
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,295316,210,1406.27
2023-08-01,0,0,0
2023-08-02,0,0,0
2023-08-03,583507,279,2091.42
2023-08-04,522756,244,2142.44
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,318152,176,1807.68
2023-08-08,314557,218,1442.92
2023-08-09,312122,284,1099.02
2023-08-10,312066,272,1147.3
2023-08-11,280777,282,995.66
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,575587,264,2180.25
2023-08-15,456049,211,2161.37
2023-08-16,440430,203,2169.61
2023-08-17,267467,129,2073.39
2023-08-18,393484,188,2093
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,547596,262,2090.06
2023-08-22,536044,254,2110.41
2023-08-23,446599,202,2210.89
2023-08-24,512627,234,2190.71
2023-08-25,432364,200,2161.82
2023-08-26,0,0,0
2023-08-27,0,0,0
2023-08-28,567198,253,2241.89
2023-08-29,492108,228,2158.37
2023-08-30,801427.69,593,1351.48
2023-08-31,475399,359,1324.23
2023-09-01,431298.72,369,1168.83
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,459018.02,495,927.31
2023-09-05,441747.1,489,903.37
2023-09-06,463806.19,483,960.26
2023-09-07,407447.71,395,1031.51
2023-09-08,426354.95,401,1063.23
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,433508.69,470,922.36
2023-09-12,437861.06,476,919.88
2023-09-13,430892.87,453,951.2
2023-09-14,422395.33,441,957.81
2023-09-15,446946.82,455,982.3
2023-09-16,0,0,0
2023-09-17,0,0,0
2023-09-18,424204.3,457,928.24
2023-09-19,424149.48,460,922.06
2023-09-20,298615.81,356,838.81
2023-09-21,563243.88,448,1257.24
2023-09-22,531438.52,411,1293.04
2023-09-23,0,0,0
2023-09-24,0,0,0
2023-09-25,485441.03,438,1108.31
2023-09-26,479972.59,376,1276.52
2023-09-27,460709.26,417,1104.82
2023-09-28,333181.54,340,979.95
2023-09-29,478920.16,357,1341.51
2023-09-30,100335,53,1893.11
2023-10-01,103723,61,1700.38
2023-10-02,0,0,0
2023-10-03,359120,196,1832.24
2023-10-04,357389,243,1470.74
2023-10-05,353364,233,1516.58
2023-10-06,366496,233,1572.94
2023-10-07,105522,104,1014.63
2023-10-08,104758,99,1058.16
2023-10-09,376631,244,1543.57
2023-10-10,354272,218,1625.1
2023-10-11,316004,197,1604.08
2023-10-12,421714,244,1728.34
2023-10-13,366056,218,1679.16
2023-10-14,101037,101,1000.37
2023-10-15,101563,102,995.72
2023-10-16,338245,258,1311.03
2023-10-17,395437,299,1322.53
2023-10-18,462186,249,1856.17
2023-10-19,456880,291,1570.03
2023-10-20,368608,241,1529.49